N ENGINE,N SEATS,N BLADES,RD,MTOW,Label
2,15,2,14.64,4763,0
2,15,2,14.64,4763,0
2,15,2,14.64,4763,1
2,15,2,14.64,4763,1
2,15,2,14.64,4763,1
2,5,6,21.95,21319,0
2,4,2,14.64,4763,0
2,4,2,14.64,4763,0
2,4,2,14.64,4763,0
2,4,2,14.64,4763,0
2,4,2,14.64,4763,0
2,4,2,14.64,4763,1
2,4,2,14.64,4763,1
2,2,4,14.63,10433,0
2,2,4,14.63,10433,0
2,2,4,14.63,10433,1
2,2,4,14.63,10433,1
2,2,4,14.63,10433,1
2,2,4,14.63,10433,1
2,2,6,14.5,3700,0
2,7,5,18.9,9299,0
2,28,5,18.9,9299,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
1,15,2,14.64,4309,0
